Stream,Did everything go well with your A/L exams?,Maths,Science,Religion,English,Sinhala or Tamil,History,Basket I,Basket II,Basket III,Favorite Subject,Career
Commerce,"Yes, everything went well",A,A,A,A,A,A,A,B,A,commerce,IT/ Software Developer
Bio Science,"No, I had difficulties",A,A,A,A,A,A,A,B,A,maths,IT/ Software Developer
Arts,"Yes, everything went well",A,A,A,B,A,B,A,B,A,commerce,Banker
Commerce,"Mostly, but I faced some challenges",A,C,C,C,C,C,C,B,A,commerce,Banker
Bio Science,"Mostly, but I faced some challenges",B,C,A,B,B,B,B,C,B,science,Businessman
Physical Science,"Mostly, but I faced some challenges",A,B,A,A,B,A,A,A,C,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,B,A,A,A,A,A,maths,IT/ Software Developer
Commerce,"Yes, everything went well",A,B,C,A,B,A,A,B,A,commerce,Hotel Industry
Commerce,"Mostly, but I faced some challenges",B,B,A,C,B,B,B,B,A,commerce,Accountant
Bio Science,"Yes, everything went well",A,B,A,C,A,A,A,A,A,history,IT/ Software Developer
Commerce,"Mostly, but I faced some challenges",A,B,A,C,A,A,A,A,A,commerce,Accountant
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,IT/ Software Developer
Bio Science,"No, I had difficulties",A,A,A,A,A,A,A,B,A,maths,IT/ Software Developer
Arts,"Mostly, but I faced some challenges",B,B,A,A,A,A,B,C,A,art,Lecturer/ Professor
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,history,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,B,A,A,A,B,A,maths,Agriculture Industry
Commerce,"Yes, everything went well",A,A,A,B,B,C,A,B,C,commerce,Accountant
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Lecturer/ Professor
Physical Science,"No, I had difficulties",B,A,A,B,A,A,B,A,A,history,IT/ Software Developer
Bio Science,"No, I had difficulties",A,B,A,A,A,A,A,C,A,maths,Medical Industry
Commerce,"Yes, everything went well",C,B,B,B,B,C,B,A,A,commerce,Other
Commerce,"No, I had difficulties",C,C,S,A,C,S,B,C,W,english,Other
Arts,"Yes, everything went well",B,B,A,A,A,A,C,A,A,ict,Lawyer
Commerce,"Mostly, but I faced some challenges",C,S,C,S,C,B,A,S,S,commerce,Businessman
Technology,"Mostly, but I faced some challenges",B,C,B,C,B,B,B,C,C,ict,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,B,A,C,A,B,B,B,maths,IT/ Software Developer
Physical Science,"No, I had difficulties",A,A,A,B,A,B,A,A,A,maths,IT/ Software Developer
Technology,"Yes, everything went well",B,B,C,B,B,C,B,B,C,ict,Banker
Technology,"Yes, everything went well",B,C,C,A,A,C,C,C,A,english,Designer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,C,A,A,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,B,A,A,maths,Other
Arts,"Yes, everything went well",B,C,A,B,A,C,A,A,A,french,Teacher
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,B,A,A,maths,IT/ Software Developer
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,C,A,science,Engineer
Physical Science,"No, I had difficulties",C,S,A,A,C,C,C,C,C,ict,IT/ Software Developer
Arts,"Yes, everything went well",C,C,A,C,B,B,C,S,C,ict,Photographer
Commerce,"Mostly, but I faced some challenges",A,A,A,A,A,B,A,B,A,maths,IT/ Software Developer
Arts,"Yes, everything went well",A,C,C,A,A,C,A,A,C,dancing,Other
Bio Science,"Yes, everything went well",B,B,A,A,A,A,B,A,A,maths,Other
Physical Science,"Mostly, but I faced some challenges",A,B,A,C,B,A,A,A,A,maths,Engineer
Commerce,"Yes, everything went well",A,A,A,A,A,A,A,A,A,commerce,Businessman
Physical Science,"Yes, everything went well",A,A,A,A,B,A,A,S,A,maths,IT/ Software Developer
Commerce,"Mostly, but I faced some challenges",C,B,B,C,B,B,B,A,B,commerce,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,C,A,A,C,C,A,A,A,ict,IT/ Software Developer
Commerce,"Yes, everything went well",C,C,B,C,A,C,B,C,A,commerce,Businessman
Bio Science,"Mostly, but I faced some challenges",C,C,A,A,A,A,A,B,A,english,IT/ Software Developer
Arts,"Mostly, but I faced some challenges",C,B,A,A,A,A,A,A,A,english,Other
Arts,"Yes, everything went well",C,C,C,B,B,C,B,C,B,geography,Other
Physical Science,"Yes, everything went well",A,B,A,A,A,A,A,B,A,science,Engineer
Commerce,"Mostly, but I faced some challenges",A,A,A,A,B,A,A,B,A,commerce,IT/ Software Developer
Technology,"Yes, everything went well",A,B,A,A,A,B,B,B,B,science,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Engineer
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,ict,Manager
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,B,B,C,C,B,A,A,B,science,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,B,B,A,ict,IT/ Software Developer
Arts,"Yes, everything went well",B,A,A,C,C,C,A,A,C,agri,Businessman
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,B,A,science,Businessman
Commerce,"Mostly, but I faced some challenges",A,B,A,B,A,A,A,A,B,commerce,Accountant
Commerce,"Yes, everything went well",B,C,A,A,A,A,A,A,B,ict,Designer
Arts,"Yes, everything went well",C,S,C,S,B,C,A,S,A,science,Other
Physical Science,"No, I had difficulties",A,A,A,A,A,A,A,A,A,maths,Engineer
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,B,A,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,IT/ Software Developer
Technology,"No, I had difficulties",B,A,A,A,A,A,A,B,A,ict,IT/ Software Developer
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,sinhala,Medical Industry
Technology,"Mostly, but I faced some challenges",B,C,A,C,B,B,A,A,A,agri,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,C,B,A,A,A,A,maths,IT/ Software Developer
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,B,A,B,A,maths,Designer
Arts,"Yes, everything went well",B,B,A,B,B,B,A,B,B,ict,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,B,B,A,maths,IT/ Software Developer
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,C,A,maths,Engineer
Bio Science,"Yes, everything went well",C,A,A,A,A,B,A,A,A,science,Other
Physical Science,"No, I had difficulties",A,A,A,A,A,A,A,B,C,maths,Engineer
Physical Science,"No, I had difficulties",A,B,A,A,A,A,A,B,B,ict,IT/ Software Developer
Technology,"Mostly, but I faced some challenges",C,B,C,A,C,B,A,A,C,technology,Engineer
Physical Science,"Yes, everything went well",A,B,C,B,A,A,A,A,A,ict,Businessman
Commerce,"Yes, everything went well",W,W,W,C,W,W,B,C,C,commerce,Other
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,B,C,maths,Other
Arts,"Yes, everything went well",B,B,A,A,A,A,A,A,A,ict,Banker
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,B,science,Medical Industry
Arts,"Yes, everything went well",C,C,A,A,A,A,A,B,C,geography,Teacher
Commerce,"Yes, everything went well",A,C,B,A,A,B,A,C,B,commerce,Banker
Arts,"Yes, everything went well",C,C,B,C,A,A,A,A,B,dancing,Designer
Physical Science,"Mostly, but I faced some challenges",B,C,A,C,B,A,C,S,B,maths,Manager
Arts,"Yes, everything went well",A,A,A,A,A,A,A,B,A,ict,Aviation
Arts,"Mostly, but I faced some challenges",B,B,A,A,A,C,A,C,A,german,Teacher
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,IT/ Software Developer
Commerce,"Mostly, but I faced some challenges",B,B,A,B,A,B,A,A,A,commerce,Finance
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,B,science,IT/ Software Developer
Physical Science,"Yes, everything went well",A,B,A,A,A,A,A,A,B,maths,IT/ Software Developer
Bio Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,Medical Industry
Arts,"Mostly, but I faced some challenges",A,A,A,A,A,A,C,B,A,commerce,Banker
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,Lecturer/ Professor
Technology,"Mostly, but I faced some challenges",B,C,A,S,A,B,C,C,B,ict,IT/ Software Developer
Bio Science,"Mostly, but I faced some challenges",C,A,A,C,B,A,A,S,A,science,Other
Physical Science,"Yes, everything went well",A,A,A,B,A,A,B,C,A,maths,IT/ Software Developer
Arts,"Mostly, but I faced some challenges",C,S,A,A,S,C,A,B,S,japanese,Designer
Physical Science,"Mostly, but I faced some challenges",A,B,B,B,C,B,C,B,A,ict,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",C,C,B,C,B,A,B,A,A,science,IT/ Software Developer
Commerce,"Mostly, but I faced some challenges",B,B,A,A,B,B,A,B,A,commerce,IT/ Software Developer
Commerce,"Yes, everything went well",A,A,A,A,A,A,C,A,A,ict,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",B,A,A,A,A,A,A,A,A,maths,Engineer
Commerce,"Mostly, but I faced some challenges",B,C,A,C,A,A,A,A,B,commerce,Other
Bio Science,"No, I had difficulties",A,A,A,A,A,A,A,B,A,ict,IT/ Software Developer
Bio Science,"Yes, everything went well",B,A,A,A,A,A,A,A,B,maths,Medical Industry
Bio Science,"Yes, everything went well",A,A,A,A,B,A,A,B,A,maths,Medical Industry
Technology,"Mostly, but I faced some challenges",A,B,A,B,A,A,A,A,B,ict,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",B,C,S,A,B,A,A,A,C,ict,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,B,C,A,science,IT/ Software Developer
Arts,"Mostly, but I faced some challenges",B,B,C,A,S,A,A,A,B,ict,IT/ Software Developer
Bio Science,"No, I had difficulties",B,B,A,A,A,A,A,A,A,history,Designer
Bio Science,"Mostly, but I faced some challenges",A,B,A,A,A,A,A,B,A,english,IT/ Software Developer
Technology,"Mostly, but I faced some challenges",A,B,A,B,A,C,B,C,A,sinhala,Other
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,C,C,A,C,science,Medical Industry
Commerce,"Mostly, but I faced some challenges",A,C,C,B,B,C,B,B,B,commerce,Banker
Bio Science,"Mostly, but I faced some challenges",A,B,A,A,A,A,A,A,A,science,Food Scientist
Physical Science,"Yes, everything went well",A,A,A,A,A,A,S,B,A,maths,Engineer
Technology,"Yes, everything went well",B,C,B,C,B,C,C,B,S,science,Other
Technology,"No, I had difficulties",A,A,B,B,B,A,B,B,B,ict,IT/ Software Developer
Arts,"Yes, everything went well",C,C,A,A,A,C,A,C,A,french,Teacher
Technology,"Mostly, but I faced some challenges",A,C,C,A,C,B,C,A,C,maths,IT/ Software Developer
Technology,"Mostly, but I faced some challenges",B,S,A,S,C,C,C,B,S,technology,IT/ Software Developer
Technology,"Mostly, but I faced some challenges",C,C,B,A,C,C,C,A,A,ict,IT/ Software Developer
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Medical Industry
Bio Science,"Mostly, but I faced some challenges",A,C,A,B,A,C,B,A,B,maths,IT/ Software Developer
Arts,"Yes, everything went well",S,S,B,S,C,B,B,B,A,science,IT/ Software Developer
Commerce,"Yes, everything went well",C,C,A,S,B,C,A,C,C,commerce,Businessman
Physical Science,"Mostly, but I faced some challenges",A,A,A,S,A,A,B,B,A,maths,Engineer
Technology,"No, I had difficulties",C,C,A,S,B,A,C,B,C,ict,IT/ Software Developer
Technology,"Yes, everything went well",B,A,B,A,C,C,S,C,C,science,IT/ Software Developer
Bio Science,"Yes, everything went well",A,A,A,B,A,A,A,A,A,english,Medical Industry
Bio Science,"Mostly, but I faced some challenges",B,A,A,A,A,A,A,A,A,maths,Medical Industry
Physical Science,"Yes, everything went well",A,A,A,A,B,A,A,A,A,maths,IT/ Software Developer
Technology,"Yes, everything went well",A,B,A,A,A,A,A,A,A,science,IT/ Software Developer
Arts,"Mostly, but I faced some challenges",A,A,B,A,A,B,B,A,A,commerce,Other
Physical Science,"No, I had difficulties",A,A,A,C,A,C,A,B,A,maths,Businessman
Bio Science,"Mostly, but I faced some challenges",A,A,A,B,A,A,B,A,A,maths,Food Scientist
Technology,"Yes, everything went well",A,A,A,B,A,A,A,A,A,ict,Businessman
Technology,"No, I had difficulties",C,B,C,S,S,C,C,C,B,ict,Other
Technology,"Yes, everything went well",B,B,C,B,B,B,B,B,B,ict,IT/ Software Developer
Commerce,"Yes, everything went well",B,C,A,A,C,A,A,A,A,commerce,Sportsman
Physical Science,"Mostly, but I faced some challenges",A,A,A,B,A,A,A,A,A,maths,Engineer
Bio Science,"Yes, everything went well",A,A,A,B,A,A,A,A,A,science,Teacher
Physical Science,"Mostly, but I faced some challenges",A,B,A,B,B,C,C,S,B,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,B,B,B,A,maths,Engineer
Technology,"Mostly, but I faced some challenges",A,A,A,B,A,B,C,B,B,maths,Engineer
Bio Science,"Mostly, but I faced some challenges",A,A,A,B,A,A,A,B,A,science,Chemist
Arts,"Yes, everything went well",S,C,A,A,A,C,S,C,A,commerce,HR
Technology,"Yes, everything went well",B,B,B,B,C,C,B,B,B,maths,IT/ Software Developer
Technology,"Yes, everything went well",S,B,B,B,C,C,S,C,C,ict,Other
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,Medical Industry
Bio Science,"No, I had difficulties",B,C,A,C,A,C,A,A,B,science,Other
Commerce,"Yes, everything went well",A,A,A,B,A,C,B,B,A,commerce,Other
Arts,"Yes, everything went well",S,C,B,C,C,C,A,B,S,geography,Other
Technology,"Yes, everything went well",B,B,B,B,A,A,A,A,B,technology,Engineer
Technology,"Yes, everything went well",A,C,C,C,C,C,A,C,C,maths,Businessman
Arts,"Yes, everything went well",S,B,C,B,A,S,C,C,W,art,Hotel Industry
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,C,C,maths,Engineer
Commerce,"Yes, everything went well",C,C,A,C,C,B,C,S,B,commerce,Businessman
Bio Science,"Yes, everything went well",A,A,A,A,A,A,B,B,A,maths,Medical Industry
Technology,"Yes, everything went well",A,C,A,B,C,B,B,B,A,science,Other
Bio Science,"Mostly, but I faced some challenges",B,A,A,C,A,A,A,A,A,science,Medical Industry
Bio Science,"Mostly, but I faced some challenges",A,B,A,S,A,A,A,B,A,science,Medical Industry
Physical Science,"No, I had difficulties",A,A,A,A,A,A,A,C,A,maths,IT/ Software Developer
Physical Science,"No, I had difficulties",A,A,A,A,A,A,A,A,C,maths,Engineer
Technology,"Mostly, but I faced some challenges",C,S,S,C,C,C,C,C,C,ict,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,B,A,B,A,B,B,A,A,maths,IT/ Software Developer
Technology,"Yes, everything went well",A,A,A,B,A,A,A,B,A,technology,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,B,A,science,IT/ Software Developer
Commerce,"Yes, everything went well",B,C,B,C,A,C,A,B,C,commerce,Finance
Technology,"Mostly, but I faced some challenges",A,C,A,C,A,A,A,A,B,ict,IT/ Software Developer
Technology,"Mostly, but I faced some challenges",B,C,B,C,B,B,C,C,C,ict,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,B,A,C,A,C,B,B,maths,IT/ Software Developer
Physical Science,"No, I had difficulties",A,A,A,C,A,B,A,A,A,maths,IT/ Software Developer
Technology,"Yes, everything went well",B,C,C,B,B,C,B,B,C,ict,Banker
Technology,"Yes, everything went well",B,B,C,A,A,C,C,C,A,english,Designer
Physical Science,"Mostly, but I faced some challenges",A,B,A,C,C,A,A,A,A,maths,Engineer
Bio Science,"Mostly, but I faced some challenges",C,C,A,A,A,A,A,C,A,english,IT/ Software Developer
Arts,"Yes, everything went well",C,C,S,B,B,C,B,C,B,geography,Other
Technology,"Yes, everything went well",A,B,B,A,A,B,B,B,B,science,Engineer
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,B,A,A,B,A,science,Businessman
Technology,"No, I had difficulties",B,A,A,A,A,B,A,B,A,ict,IT/ Software Developer
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,B,A,A,sinhala,Medical Industry
Technology,"Mostly, but I faced some challenges",B,S,A,C,B,B,A,A,A,agri,IT/ Software Developer
Technology,"Mostly, but I faced some challenges",C,B,C,A,C,C,A,A,C,technology,Engineer
Physical Science,"Yes, everything went well",A,A,B,A,A,A,A,A,A,maths,Lecturer/ Professor
Technology,"Mostly, but I faced some challenges",B,C,A,C,A,B,B,C,B,ict,IT/ Software Developer
Bio Science,"Mostly, but I faced some challenges",C,A,A,S,B,A,A,C,A,science,Other
Physical Science,"Mostly, but I faced some challenges",B,C,C,A,B,A,A,A,S,ict,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,C,S,A,science,IT/ Software Developer
Arts,"Mostly, but I faced some challenges",B,B,C,A,B,A,A,A,B,ict,IT/ Software Developer
Bio Science,"No, I had difficulties",A,B,B,A,A,A,A,A,A,history,Designer
Bio Science,"Mostly, but I faced some challenges",A,B,A,A,A,A,A,B,A,english,IT/ Software Developer
Technology,"Mostly, but I faced some challenges",A,C,A,B,B,C,B,C,A,sinhala,Other
Bio Science,"Mostly, but I faced some challenges",A,A,A,B,A,C,B,A,C,science,Medical Industry
Commerce,"Mostly, but I faced some challenges",A,C,C,C,A,C,B,B,B,commerce,Banker
Bio Science,"Mostly, but I faced some challenges",A,A,A,B,A,A,A,A,A,science,Food Scientist
Physical Science,"Yes, everything went well",A,A,A,A,A,A,B,B,A,maths,Engineer
Technology,"Yes, everything went well",B,C,B,C,C,C,C,B,C,science,Other
Technology,"No, I had difficulties",A,A,B,C,B,A,B,B,B,maths,IT/ Software Developer
Arts,"Yes, everything went well",C,C,B,A,A,C,A,C,A,french,Teacher
Technology,"Mostly, but I faced some challenges",A,C,C,A,B,B,C,A,C,ict,IT/ Software Developer
Technology,"Mostly, but I faced some challenges",B,S,A,C,C,C,C,B,C,technology,IT/ Software Developer
Technology,"Mostly, but I faced some challenges",C,C,B,A,B,C,C,A,A,ict,IT/ Software Developer
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,C,A,A,A,A,science,Medical Industry
Bio Science,"Mostly, but I faced some challenges",A,B,A,B,A,C,B,A,B,maths,IT/ Software Developer
Arts,"Yes, everything went well",S,S,B,S,B,B,B,C,A,science,IT/ Software Developer
Commerce,"Yes, everything went well",C,C,A,S,B,S,A,B,C,commerce,Businessman
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,B,B,A,maths,Engineer
Technology,"No, I had difficulties",B,C,A,C,B,A,C,B,C,ict,IT/ Software Developer
Technology,"Yes, everything went well",B,B,B,A,C,C,C,C,C,science,IT/ Software Developer
Bio Science,"Yes, everything went well",A,A,A,A,A,A,A,B,A,english,Medical Industry
Bio Science,"Mostly, but I faced some challenges",A,A,B,A,A,A,A,A,A,maths,Medical Industry
Physical Science,"Yes, everything went well",B,A,A,A,A,A,A,A,A,maths,IT/ Software Developer
Technology,"Yes, everything went well",A,A,B,A,A,A,A,A,A,science,IT/ Software Developer
Arts,"Mostly, but I faced some challenges",B,A,B,A,A,A,B,A,A,music,Other
